T,rho,p0,p1,pole1,pole2,delta_real,delta_imag,stokes_angle
1.074999999999999956e+00,4.761904761904078853e-04,-4.028210403406716544e+00,-1.190202538682839695e+01,-9.097828643521022940e+00,-2.035987349492378939e+01,1.934706813702643302e+00,2.482246047280824097e+00,9.087320946527108756e-01
1.074999999999999956e+00,2.952380952380950774e-02,-4.120003722080960884e+00,-1.241199874076532694e+01,-9.299921010351884121e+00,-2.060258629307136502e+01,1.894903916407493893e+00,2.482246047280823653e+00,9.187851050505404515e-01
1.199999999999999956e+00,-9.000000000000000222e-01,-2.225065086937048520e+00,-6.243157989857223811e+00,-5.194067271930840946e+00,-1.901563481885519025e+01,2.286519207130110587e+00,2.482246047280824097e+00,8.264186447013317505e-01
1.199999999999999956e+00,-8.709523809523809224e-01,-2.252052102815504053e+00,-6.320578171385347055e+00,-5.255332562044269018e+00,-1.852509736277989560e+01,2.271062660880712070e+00,2.482246047280824097e+00,8.297976777832355433e-01
1.199999999999999956e+00,-8.419047619047619335e-01,-2.279769953754824385e+00,-6.400253085178873036e+00,-5.318274379808906716e+00,-1.812884304449238115e+01,2.255305861012224966e+00,2.482246047280824097e+00,8.332639909654497856e-01
1.199999999999999956e+00,-8.128571428571428337e-01,-2.308250235098583403e+00,-6.482290943026407959e+00,-5.382966323678348708e+00,-1.780455159766143325e+01,2.239237190176345038e+00,2.482246047280824097e+00,8.368215415702812132e-01
1.199999999999999956e+00,-7.838095238095238448e-01,-2.337526440374999570e+00,-6.566807505603809325e+00,-5.449486486935452234e+00,-1.753707440097414505e+01,2.222844334383140996e+00,2.482246047280823653e+00,8.404745484172655434e-01
1.199999999999999956e+00,-7.547619047619047450e-01,-2.367634108920887215e+00,-6.653926809329216319e+00,-5.517917812039367043e+00,-1.731569824891964871e+01,2.206114224454656991e+00,2.482246047280824097e+00,8.442275150516644899e-01
1.199999999999999956e+00,-7.257142857142857562e-01,-2.398610986899724740e+00,-6.743781986471891976e+00,-5.588348479412355907e+00,-1.713259845296480677e+01,2.189032970901203079e+00,2.482246047280824541e+00,8.480852556383290386e-01
1.199999999999999956e+00,-6.966666666666666563e-01,-2.430497204314833404e+00,-6.836516193598861868e+00,-5.660872334670594697e+00,-1.698191130211812805e+01,2.171585791256166686e+00,2.482246047280824097e+00,8.520529239085142814e-01
1.199999999999999956e+00,-6.676190476190476675e-01,-2.463335469522839549e+00,-6.932283671700988137e+00,-5.735589358821028050e+00,-1.685915094825258720e+01,2.153756928723612241e+00,2.482246047280824097e+00,8.561360456180324707e-01
1.199999999999999956e+00,-6.385714285714285676e-01,-2.497171283068255754e+00,-7.031250958500698367e+00,-5.812606186662588215e+00,-1.676082829060687018e+01,2.135529560768256729e+00,2.482246047280824097e+00,8.603405550620889519e-01
1.199999999999999956e+00,-6.095238095238095788e-01,-2.532053173714420069e+00,-7.133598285864835908e+00,-5.892036679177873104e+00,-1.668419367134588782e+01,2.116885695996748140e+00,2.482246047280824097e+00,8.646728362998257200e-01
1.199999999999999956e+00,-5.804761904761904789e-01,-2.568032958940023924e+00,-7.239521199120532380e+00,-5.974002556801493391e+00,-1.662705833892650986e+01,2.097806057325366957e+00,2.482246047280824097e+00,8.691397698761037516e-01
1.199999999999999956e+00,-5.514285714285713791e-01,-2.605166033055128061e+00,-7.349232446031318311e+00,-6.058634101139931616e+00,-1.658766765236779150e+01,2.078269948978382242e+00,2.482246047280824097e+00,8.737487859977989269e-01
1.199999999999999956e+00,-5.223809523809523903e-01,-2.643511686640042324e+00,-7.462964199400580867e+00,-6.146070934198509583e+00,-1.656460923454847745e+01,2.058255104280265257e+00,2.482246047280824541e+00,8.785079253383528686e-01
1.199999999999999956e+00,-4.933333333333333459e-01,-2.683133461270583275e+00,-7.580970692776324071e+00,-6.236462885195027894e+00,-1.655674532269816979e+01,2.037737510446595124e+00,2.482246047280824541e+00,8.834259089237768148e-01
1.199999999999999956e+00,-4.642857142857143016e-01,-2.724099543845212246e+00,-7.703531378323073220e+00,-6.329970956843810725e+00,-1.656316224878088050e+01,2.016691205575000367e+00,2.482246047280824097e+00,8.885122189188731090e-01
1.199999999999999956e+00,-4.352380952380952572e-01,-2.766483206396968431e+00,-7.830954751609550790e+00,-6.426768404826914249e+00,-1.658313229693671431e+01,1.995088041689232483e+00,2.482246047280824097e+00,8.937771926177725534e-01
1.199999999999999956e+00,-4.061904761904762129e-01,-2.810363297551255357e+00,-7.963583042169086745e+00,-6.527041946235812020e+00,-1.661608467719466731e+01,1.972897405847176433e+00,2.482246047280824097e+00,8.992321325979762969e-01
1.199999999999999956e+00,-3.771428571428571130e-01,-2.855824792234111786e+00,-8.101798049279794967e+00,-6.630993115598107224e+00,-1.666158333980883910e+01,1.950085888758711805e+00,2.482246047280824097e+00,9.048894368977635772e-01
1.199999999999999956e+00,-3.480952380952381242e-01,-2.902959409126858681e+00,-8.246028522008828077e+00,-6.738839790043576805e+00,-1.671931001921096893e+01,1.926616886713000909e+00,2.482246047280824097e+00,9.107627543411167537e-01
1.199999999999999956e+00,-3.190476190476190244e-01,-2.951866304727676749e+00,-8.396759669369817658e+00,-6.850817908968310554e+00,-1.678905135414323624e+01,1.902450117308049471e+00,2.482246047280824097e+00,9.168671719510664841e-01
1.199999999999999956e+00,-2.900000000000000355e-01,-3.002652855853947589e+00,-8.554545686086575174e+00,-6.967183418009172513e+00,-1.687068925218659032e+01,1.877541021545267252e+00,2.482246047280824097e+00,9.232194440732023333e-01
1.199999999999999956e+00,-2.609523809523809357e-01,-3.055435544788898561e+00,-8.720026674017207213e+00,-7.088214472439693381e+00,-1.696419389745468820e+01,1.851840012639589528e+00,2.482246047280824097e+00,9.298382769086787070e-01
1.199999999999999956e+00,-2.319047619047619468e-01,-3.110340961911136848e+00,-8.893952193358373393e+00,-7.214213941718466749e+00,-1.706961896925536593e+01,1.825291512428906859e+00,2.482246047280824097e+00,9.367446885780454924e-01
1.199999999999999956e+00,-2.028571428571428470e-01,-3.167506945723496337e+00,-9.077215216919569230e+00,-7.345512264611791409e+00,-1.718709876679432469e+01,1.797832683968042078e+00,2.482246047280824097e+00,9.439624753692358317e-01
1.199999999999999956e+00,-1.738095238095238582e-01,-3.227083882526859071e+00,-9.270903194986056306e+00,-7.482470714032367631e+00,-1.731684703334686404e+01,1.769391712718908494e+00,2.482246047280824097e+00,9.515188329378007071e-01
1.199999999999999956e+00,-1.447619047619047583e-01,-3.289236192297723793e+00,-9.476378903037224077e+00,-7.625485142396045468e+00,-1.745915735294180493e+01,1.739885385383363792e+00,2.482246047280824097e+00,9.594452142096817626e-01
1.199999999999999956e+00,-1.157142857142857695e-01,-3.354144033915497314e+00,-9.695416890504487739e+00,-7.774990292745241227e+00,-1.761440505952172586e+01,1.709215511629722073e+00,2.482246047280824097e+00,9.677785701148126085e-01
1.199999999999999956e+00,-8.666666666666666963e-02,-3.422005266905863596e+00,-9.930453437056550925e+00,-7.931464778719784725e+00,-1.778305065843592914e+01,1.677263295649673580e+00,2.482246047280824097e+00,9.765632564230153356e-01
1.199999999999999956e+00,-5.761904761904768080e-02,-3.493037719232021221e+00,-1.018509758600267823e+01,-8.095436858619599718e+00,-1.796564481697142668e+01,1.643879707949995606e+00,2.482246047280824097e+00,9.858542175053096601e-01
1.199999999999999956e+00,-2.857142857142858094e-02,-3.567481815050784100e+00,-1.046535412345845550e+01,-8.267491156500595295e+00,-1.816283503831270707e+01,1.608866924190957004e+00,2.482246047280824097e+00,9.957229745473912264e-01
1.199999999999999956e+00,4.761904761904078853e-04,-3.645603634809151394e+00,-1.078339420080503785e+01,-8.448276518059349982e+00,-1.837537419506968206e+01,1.571935164763179182e+00,2.482246047280824097e+00,1.006271213503425299e+00
1.199999999999999956e+00,2.952380952380950774e-02,-3.727698491354844545e+00,-1.117732433939514003e+01,-8.638515233092697088e+00,-1.860413116873861483e+01,1.532558313902795621e+00,2.482246047280824097e+00,1.017675138411904934e+00
1.324999999999999956e+00,-9.000000000000000222e-01,-2.040275642007301382e+00,-5.744452791919247403e+00,-4.845584334111431524e+00,-1.675405529635052204e+01,1.977961907858895252e+00,2.482246047280824097e+00,8.979829765219485838e-01
1.324999999999999956e+00,-8.709523809523809224e-01,-2.064919368059563887e+00,-5.815936215620920002e+00,-4.903334288340500891e+00,-1.638503075637055773e+01,1.962653565389613330e+00,2.482246047280824097e+00,9.017663702686539162e-01
1.324999999999999956e+00,-8.419047619047619335e-01,-2.090224753483807874e+00,-5.889498842617173047e+00,-4.962674903430282392e+00,-1.608515576758168919e+01,1.947038125380175622e+00,2.482246047280824097e+00,9.056491240991396685e-01
1.324999999999999956e+00,-8.128571428571428337e-01,-2.116220121247893715e+00,-5.965239905303360679e+00,-5.023676352321952088e+00,-1.583918209349974049e+01,1.931103533675748274e+00,2.482246047280824097e+00,9.096357649150761393e-01
1.324999999999999956e+00,-7.838095238095238448e-01,-2.142935478454986331e+00,-6.043265485154586614e+00,-5.086413110784619107e+00,-1.563651081342487892e+01,1.914837012380725234e+00,2.482246047280824097e+00,9.137311172409200433e-01
1.324999999999999956e+00,-7.547619047619047450e-01,-2.170402645699298194e+00,-6.123689157940520822e+00,-5.150964297781520429e+00,-1.546950418037638819e+01,1.898224999676751290e+00,2.482246047280824541e+00,9.179403292814967141e-01
1.324999999999999956e+00,-7.257142857142857562e-01,-2.198655398326663235e+00,-6.206632723658199957e+00,-5.217414049015453692e+00,-1.533249937606093027e+01,1.881253083026914297e+00,2.482246047280824541e+00,9.222689018996709232e-01
1.324999999999999956e+00,-6.966666666666666563e-01,-2.227729621567920759e+00,-6.292227029027141150e+00,-5.285851927517889237e+00,-1.522120124422115950e+01,1.863905924827043759e+00,2.482246047280824097e+00,9.267227209253985354e-01
1.324999999999999956e+00,-6.676190476190476675e-01,-2.257663480539711998e+00,-6.380612904057491264e+00,-5.356373375672181858e+00,-1.513229206267051552e+01,1.846167179394992752e+00,2.482246047280824097e+00,9.313080932797903611e-01
1.324999999999999956e+00,-6.385714285714285676e-01,-2.288497607604627060e+00,-6.471942228765696470e+00,-5.429080213670077981e+00,-1.506317176099163646e+01,1.828019399979778470e+00,2.482246047280824097e+00,9.360317874860426546e-01
1.324999999999999956e+00,-6.095238095238095788e-01,-2.320275308001885417e+00,-6.566379158495784019e+00,-5.504081190105398314e+00,-1.501177977251678541e+01,1.809443934213598171e+00,2.482246047280824097e+00,9.409010792474917784e-01
1.324999999999999956e+00,-5.804761904761904789e-01,-2.353042787445461137e+00,-6.664101536477960330e+00,-5.581492591228781386e+00,-1.497646976299131971e+01,1.790420806106106433e+00,2.482246047280824097e+00,9.459238029073818721e-01
1.324999999999999956e+00,-5.514285714285713791e-01,-2.386849403013818982e+00,-6.765302535382192950e+00,-5.661438916341935190e+00,-1.495591964450887801e+01,1.770928582271712903e+00,2.482246047280824097e+00,9.511084097729956000e-01
1.324999999999999956e+00,-5.223809523809523903e-01,-2.421747941132308846e+00,-6.870192576760929093e+00,-5.744053627929309513e+00,-1.494906576028172118e+01,1.750944219558975501e+00,2.482246047280824097e+00,9.564640344992429988e-01
1.324999999999999956e+00,-4.933333333333333459e-01,-2.457794925878506564e+00,-6.979001595436860939e+00,-5.829479986421120863e+00,-1.495505401851421645e+01,1.730442890577267301e+00,2.482246047280824097e+00,9.620005709984176256e-01
1.324999999999999956e+00,-4.642857142857143016e-01,-2.495050961326462424e+00,-7.091981733691727463e+00,-5.917871981042125640e+00,-1.497320316689375375e+01,1.709397782733418358e+00,2.482246047280824097e+00,9.677287596946733128e-01
1.324999999999999956e+00,-4.352380952380952572e-01,-2.533581112664756052e+00,-7.209410581657059502e+00,-6.009395369982899027e+00,-1.500297693719173608e+01,1.687779865218757003e+00,2.482246047280824097e+00,9.736602884039650130e-01
1.324999999999999956e+00,-4.061904761904762129e-01,-2.573455331835588389e+00,-7.331595119153076823e+00,-6.104228845296424844e+00,-1.504396279417526472e+01,1.665557616803933882e+00,2.482246047280824097e+00,9.798079097371884538e-01
1.324999999999999956e+00,-3.771428571428571130e-01,-2.614748932603438547e+00,-7.458876576807932146e+00,-6.202565340452730780e+00,-1.509585569441194863e+01,1.642696705122311140e+00,2.482246047280824541e+00,9.861855787627206160e-01
1.324999999999999956e+00,-3.480952380952381242e-01,-2.657543123347670733e+00,-7.591636522238727203e+00,-6.304613501513865792e+00,-1.515844571872849578e+01,1.619159605069163677e+00,2.482246047280824097e+00,9.928086158270569284e-01
